epoch,accuracy,loss,val_accuracy,val_loss
0,0.579074501991272,1.7370671033859253,0.5081018805503845,1.8040664196014404
1,0.7304856181144714,1.0340137481689453,0.5273919701576233,1.850764513015747
2,0.7730739712715149,0.8438298106193542,0.6477623581886292,1.3856374025344849
3,0.7977371215820312,0.7336935997009277,0.6813271641731262,1.2339081764221191
4,0.8057462573051453,0.6846663951873779,0.5787037014961243,1.6648552417755127
5,0.8189677000045776,0.6298159956932068,0.6635802388191223,1.40767240524292
6,0.8212560415267944,0.5986704230308533,0.7033178806304932,1.1095138788223267
7,0.829900860786438,0.5626688003540039,0.7210648059844971,1.012214183807373
8,0.8381642699241638,0.5302505493164062,0.6493055820465088,1.5764942169189453
9,0.8351131677627563,0.5222746133804321,0.7129629850387573,1.0242223739624023
